FLT_ARL_IATA,FLT_ROUTE,FLT_DATE,FLT_AIRCRAFT
LW,IGR to AEP,June 2016,B737-800
LW,AEP to SCL,May 2016,Boeing 737
LW,ROS to AEP,April 2016,E190
LW,EZE to BOG,March 2016,A340
LW,IGR to AEP,May 2015,Boeing 737-700
LW,REL to EZE,January 2016,Boeing 737-300
LW,EZE to MIA,November 2015,A340
LW,ROS to BCN via EZE,December 2015,A340
LW,AEP to Iguazu,October 2015,NONE
LW,AEP to MDQ,November 2015,E-190
LW,Rosario to Buenos Aires via Cordoba,August 2015,NONE
LW,Buenos Aires to Miami,July 2015,A330
LW,FCO to EZE,July 2015,A340-300
DZ,Guadalajara to Puerto Vallarta,October 2019,NONE
DZ,Puerto Vallarta to Guadalajara,September 2019,NONE
DZ,Puerto Escondido to Mexico City,October 2018,NONE
DZ,Oaxaca to Mexico City ,November 2018,NONE
DZ,Oaxaca to Tuxtla Gutierrez,June 2018,NONE
DZ,Ixtapa Zihuatanejo to Acapulco via Mexico City,December 2017,NONE
DZ,Ixtapa-Zihuatanejo to Mexico City,January 2018,Ate
DZ,PXM to MEX,December 2015,NONE
DZ,MEX to CVM,April 2012,NONE
NX,Los Angeles  to Mexico City,July 2023,NONE
NX,Hermosillo to Mexico City,June 2023,NONE
NX,Mexico City to Guatemala City,June 2023,NONE
NX,London Heathrow to Mexico City ,June 2023,Dreamliner
NX,Puerto Vallarta to Mexico City,May 2023,Boeing 787-9
NX,Madrid to Monterrey,March 2023,NONE
NX,San Francisco to Puerto Vallarta via Mexico City,March 2023,NONE
NX,Toronto to Los Cabos via Mexico city,May 2023,NONE
NX,Los Angeles to Ciudad Juarez,May 2023,NONE
NX,Cancun to Mexico City,May 2023,NONE
NX,Mexico City to Tijuana via Guadalajara,March 2023,NONE
NX,El Salvador to Vancouver via Mexico City,April 2023,Boeing 737 MAX
NX,Paris to Mexico city,April 2023,Boeing 787-9
NX,Juárez to Puerto Vallarta,May 2023,NONE
NX,Mexico City to Puerto Escondido ,May 2023,NONE
NX,Toronto to Mexico City,May 2023,Boeing 737
NX,Toronto to Mexico City,April 2023,NONE
NX,México City to Calgary,April 2023,NONE
NX,Los Angeles to Aguascalientes via Mexico City,April 2023,Boeing 787-9  / 737 MAX
NX,Mexico City to Los Angeles,January 2023,NONE
NX,Culiacán Mexico to Mexico City via Atlanta,April 2023,NONE
NX,Mexico City to New York ,April 2023,NONE
NX,Mexico City to Cancun,March 2023,NONE
NX,Bogota to London via Mexico City,March 2023,NONE
NX,Orlando to Mexico City,March 2023,NONE
NX,Mexico City to Toronto,March 2023,NONE
NX,Philadelphia to Tijuana via Atlanta / Mexico city,August 2022,Am 4102
NX,Mexico City to Houston,December 2022,NONE
NX,Oaxaca to Mexico City,February 2023,NONE
NX,Cancun to San Francisco via Mexico city,February 2023,Boeing 737
NX,Mexico City to Los Cabos,February 2023,NONE
NX,Dallas to Oaxaca via Mexico City,October 2022,NONE
NX,Seattle to Mexico City,December 2022,Boeing 737-800
NX,Mexico City to San José Cabo ,December 2022,Boeing 737-800
NX,Mexico City to San Jose,December 2022,Boeing 737-800
NX,Vancouver to Cancun,October 2022,NONE
NX,London to Monterrey via Mexico City,November 2022,Boeing 787
NX,Portland to Cancun ,December 2022,NONE
NX,México city to Tijuana,December 2022,NONE
NX,Guanajuato to Mexico city,December 2022,NONE
NX,Veracruz to Guadalajara via Mexico City,November 2022,NONE
NX,Peurto Escondido to Vancouver via Mexico City,November 2022,NONE
NX,San Salvador to Vancouver via Mexico City,November 2022,Boeing 737 Max
NX,Sao Paulo to Mexico City,November 2022,Boeing 787-9
NX,Puerto Vallarta to Toronto via Mexico City,November 2022,Boeing 737MAX 8 
NX,"Sacramento to Cancun,",October 2022,NONE
NX,Austin to Lima via Mexico City,July 2022,NONE
NX,Tijuana to Puerto Vallarta via Mexico City,October 2022,NONE
NX,Madrid to Managua via Mexico,November 2021,NONE
NX,San Francisco to Mexico City,November 2021,NONE
NX,Houston to Nicaragua,November 2021,NONE
NX,Mexico City to New York JFK,October 2022,NONE
NX,Chicago to Guadalajara,June 2022,Boeing 737-800
NX,Austin to Mexico City,September 2022,NONE
NX,Miami to Chiapas Tapachula,September 2022,NONE
NX,Denver to Oaxaca,September 2022,NONE
NX,Salt Lake City to Mexico City,August 2022,NONE
NX,Lima to Vancouver via Mexico,August 2022,NONE
NX,San Jose to Toronto via Mexico City,August 2022,NONE
NX,San Francisco to Guadalajara,August 2022,NONE
NX,Vancouver to Torreon via Mexico City,July 2022,NONE
NX,Monterrey to Quito via México,July 2022,NONE
NX,Mexico to Vancouver,July 2022,NONE
NX,Toronto to Cabo via Mexico City,June 2022,NONE
NX,San Antonio to San Jose via Mexico City,May 2022,NONE
NX,Mexico City to San Luis Potosi,June 2022,NONE
NX,Manchester to Monterrey via Amsterdam & Mexico City,June 2022,NONE
NX,Huatulco to Tijuana,June 2022,NONE
NX,Medellin to San Antonio,May 2022,NONE
NX,Mexico City to Amsterdam,June 2022,Boeing 787 
NX,Guadalajara to Austin,January 2022,NONE
NX,Lima to Los Angeles,June 2022,Boeing 737-8
NX,Los Angeles to Madrid via Mexico City,July 2021,Boeing 787
NX,Guadalajara to Montreal via Mexico City,May 2022,NONE
NX,Torreón to San Jose del Cabo via Mexico City,May 2022,NONE
NX,Cancun to Los Cabos via Mexico City,May 2022,NONE
NX,Mexico city to Vancouver ,May 2022,NONE
NX,Mexico City to Guatemala,May 2022,NONE
NX,Mexico City to Houston,May 2022,NONE
NX,Mexico to Houston,May 2022,NONE
NX,Denver to La Paz via Mexico City,April 2022,NONE
NX,Zurich to San José del Cabo,March 2022,NONE
NX,Guadalajara to Los Angeles,April 2022,NONE
NX,Cancun to Los Angeles via Mexico City,April 2022,NONE
NX,Shanghai to San Jose via Mexico,May 2021,NONE
NX,Los Cabos to Mexico City,April 2022,NONE
NX,Chicago to La Paz,March 2022,NONE
NX,Mexico City to New York,March 2022,NONE
NX,London to Mexico City,March 2020,NONE
NX,Mexico City to Miami,April 2020,NONE
NX,Chicago O’Hare to Mexico City,March 2022,Boeing 737
NX,Merida to Miami via Mexico City,March 2022,NONE
NX,Quito to Moscow,June 2021,NONE
NX,Merida to Minneapolis via Mexico City,February 2022,NONE
NX,Nicaragua to Vancouver,February 2022,Boeing 747-400
NX,Boise to Cancun,February 2022,NONE
NX,Mexico City to Dallas Fort Worth,February 2022,NONE
NX,Montreal to Mexico,February 2022,NONE
RS,Kumasi to Accra,May 2021,NONE
RS,Accra to Tamale,April 2021,NONE
RS,Kumasi to Accra,August 2020,NONE
RS,Lagos to Accra,September 2020,Embraer
RS,Accra to Freetown,March 2020,NONE
RS,Accra to Kumasi,November 2019,NONE
RS,Kumasi to Accra,February 2019,NONE
RS,Tamale to Accra,February 2019,Embraer 145
RS,Accra to Tamale,February 2018,Embraer 145
HW,Paris to Sao Paulo,August 2019,NONE
HW,Kiev to Paris,July 2019,NONE
HW,Paris to Beirut,May 2019,NONE
HW,Paris to Beijing,October 2018,A330-200
